category	tool	upstream	local_path	baseline_ref	quant_ref	integration	patch_path	benchmark	status	notes
mapper	minimap2	https://github.com/lh3/minimap2.git	/home/jake/Projects/dino-quant-lab/tools/minimap2	3c28777e7e2d		candidate-window prefilter before chaining/DP		bench PAF/SAM recall, chaining/DP reduction, wall time	built	minimap2 2.31-r1302
short-read-aligner	bowtie2	https://github.com/BenLangmead/bowtie2.git	/home/jake/Projects/dino-quant-lab/tools/bowtie2	80e101112461		read/window routing before FM-index extension		bench SAM concordance, extension count, wall time	built	bowtie2 2.5.5
classifier	kraken2	https://github.com/DerrickWood/kraken2.git	/home/jake/Projects/dino-quant-lab/tools/kraken2	78c4dbff28e7		taxon/database shard router before compact hash table lookup		bench query reduction, classification drift, memory traffic	built	kraken2 2.17.1 installed under tool checkout
sketch-search	sourmash	https://github.com/sourmash-bio/sourmash.git	/home/jake/Projects/dino-quant-lab/tools/sourmash	c7640ae2880b		quant sketch versus scaled MinHash containment/search		bench containment drift, search throughput, sketch bytes	built	sourmash 4.9.5.dev0 in external .venv
assembly-correction	spades	https://github.com/ablab/spades.git	/home/jake/Projects/dino-quant-lab/tools/spades	808b87dade13		read bucketing before correction/graph stages		bench correction time, graph size, assembly quality	built	SPAdes 4.4.0-dev
protein-search	diamond	https://github.com/bbuchfink/diamond.git	/home/jake/Projects/dino-quant-lab/tools/diamond	c70f371b0693		amino-acid sketch prefilter before protein alignment		bench sensitivity, alignments attempted, throughput	built	diamond 2.2.1
